SATELLITE;BIDS;WAVELENGTH;RSR
Landsat 7;4;912;0.008
Landsat 7;4;913;0.0061
Landsat 7;4;914;0.0052
Landsat 7;4;915;0
Landsat 7;4;920;0
Landsat 7;4;925;0
Landsat 7;4;930;0
Landsat 7;4;935;0
Landsat 7;4;940;0
Landsat 7;4;945;0
Landsat 7;5;1514;0.006
Landsat 7;5;1515;0.012
Landsat 7;5;1517;0.003
Landsat 7;5;1519;0.015
Landsat 7;5;1521;0.012
Landsat 7;5;1523;0.024
Landsat 7;5;1525;0.04
Landsat 7;5;1526;0.041
Landsat 7;5;1528;0.057
Landsat 7;5;1530;0.076
Landsat 7;5;1532;0.097
Landsat 7;5;1534;0.12
Landsat 7;5;1536;0.176
Landsat 7;5;1538;0.215
Landsat 7;5;1540;0.274
Landsat 7;5;1542;0.339
Landsat 7;5;1543;0.393
Landsat 7;5;1545;0.462
Landsat 7;5;1547;0.499
Landsat 7;5;1549;0.558
Landsat 7;5;1551;0.598
Landsat 7;5;1553;0.634
Landsat 7;5;1555;0.667
Landsat 7;5;1557;0.704
Landsat 7;5;1559;0.724
Landsat 7;5;1561;0.75
Landsat 7;5;1563;0.778
Landsat 7;5;1565;0.808
Landsat 7;5;1567;0.825
Landsat 7;5;1569;0.851
Landsat 7;5;1571;0.867
Landsat 7;5;1572;0.872
Landsat 7;5;1574;0.884
Landsat 7;5;1576;0.902
Landsat 7;5;1578;0.901
Landsat 7;5;1580;0.896
Landsat 7;5;1582;0.897
Landsat 7;5;1584;0.89
Landsat 7;5;1586;0.899
Landsat 7;5;1588;0.884
Landsat 7;5;1590;0.876
Landsat 7;5;1592;0.867
Landsat 7;5;1594;0.873
Landsat 7;5;1596;0.872
Landsat 7;5;1598;0.879
Landsat 7;5;1600;0.874
Landsat 7;5;1602;0.861
Landsat 7;5;1604;0.859
Landsat 7;5;1606;0.877
Landsat 7;5;1608;0.879
Landsat 7;5;1610;0.899
Landsat 7;5;1613;0.893
Landsat 7;5;1615;0.9
Landsat 7;5;1617;0.897
Landsat 7;5;1619;0.917
Landsat 7;5;1621;0.921
Landsat 7;5;1623;0.926
Landsat 7;5;1625;0.929
Landsat 7;5;1627;0.945
Landsat 7;5;1629;0.947
Landsat 7;5;1631;0.948
Landsat 7;5;1633;0.955
Landsat 7;5;1635;0.952
Landsat 7;5;1637;0.969
Landsat 7;5;1639;0.96
Landsat 7;5;1641;0.962
Landsat 7;5;1643;0.959
Landsat 7;5;1645;0.978
Landsat 7;5;1647;0.96
Landsat 7;5;1649;0.955
Landsat 7;5;1651;0.952
Landsat 7;5;1653;0.951
Landsat 7;5;1656;0.952
Landsat 7;5;1658;0.956
Landsat 7;5;1660;0.944
Landsat 7;5;1662;0.935
Landsat 7;5;1664;0.933
Landsat 7;5;1666;0.928
Landsat 7;5;1668;0.942
Landsat 7;5;1670;0.948
Landsat 7;5;1672;0.942
Landsat 7;5;1674;0.933
Landsat 7;5;1676;0.944
Landsat 7;5;1678;0.948
Landsat 7;5;1680;0.945
Landsat 7;5;1682;0.943
Landsat 7;5;1684;0.951
Landsat 7;5;1687;0.964
Landsat 7;5;1689;0.967
Landsat 7;5;1691;0.971
Landsat 7;5;1693;0.974
Landsat 7;5;1695;0.991
Landsat 7;5;1697;0.995
Landsat 7;5;1699;0.999
Landsat 7;5;1701;0.996
Landsat 7;5;1703;0.994
Landsat 7;5;1705;1
Landsat 7;5;1707;0.994
Landsat 7;5;1709;0.983
Landsat 7;5;1711;0.99
Landsat 7;5;1714;0.987
Landsat 7;5;1716;0.992
Landsat 7;5;1718;0.986
Landsat 7;5;1720;0.981
Landsat 7;5;1722;0.983
Landsat 7;5;1724;0.976
Landsat 7;5;1725;0.978
Landsat 7;5;1726;0.97
Landsat 7;5;1728;0.968
Landsat 7;5;1730;0.96
Landsat 7;5;1732;0.944
Landsat 7;5;1734;0.921
Landsat 7;5;1736;0.883
Landsat 7;5;1738;0.845
Landsat 7;5;1740;0.791
Landsat 7;5;1742;0.711
Landsat 7;5;1744;0.638
Landsat 7;5;1747;0.547
Landsat 7;5;1749;0.462
Landsat 7;5;1751;0.393
Landsat 7;5;1753;0.325
Landsat 7;5;1755;0.267
Landsat 7;5;1757;0.212
Landsat 7;5;1759;0.175
Landsat 7;5;1761;0.142
Landsat 7;5;1763;0.111
Landsat 7;5;1765;0.084
Landsat 7;5;1767;0.077
Landsat 7;5;1769;0.058
Landsat 7;5;1771;0.049
Landsat 7;5;1773;0.042
Landsat 7;5;1775;0.039
Landsat 7;5;1777;0.034
Landsat 7;5;1779;0.02
Landsat 7;5;1781;0.021
Landsat 7;5;1783;0.022
Landsat 7;5;1785;0.011
Landsat 7;5;1787;0.012
Landsat 7;5;1789;0.004
Landsat 7;5;1791;0.008
Landsat 7;5;1793;0
Landsat 7;5;1795;0
Landsat 7;5;1797;0
Landsat 7;5;1799;0
Landsat 7;5;1801;0
Landsat 7;5;1803;0
Landsat 7;5;1805;0
Landsat 7;5;1807;0
Landsat 7;5;1809;0
Landsat 7;5;1811;0
Landsat 7;5;1813;0
Landsat 7;5;1815;0
Landsat 7;5;1820;0
Landsat 7;5;1825;0
Landsat 7;5;1830;0
Landsat 7;5;1840;0
Landsat 7;5;1850;0
Landsat 7;5;1860;0
Landsat 7;5;1870;0
Landsat 7;5;1880;0
Landsat 7;6_VCID_1;NA;NA
Landsat 7;6_VCID_2;NA;NA
Landsat 7;7;2000;0
Landsat 7;7;2001;0.003
Landsat 7;7;2003;-0.002
Landsat 7;7;2005;0.003
Landsat 7;7;2007;-0.001
Landsat 7;7;2009;0
Landsat 7;7;2011;0.004
Landsat 7;7;2013;-0.004
Landsat 7;7;2015;0.002
Landsat 7;7;2017;0.002
Landsat 7;7;2018;0.002
Landsat 7;7;2020;0.012
Landsat 7;7;2022;0.009
Landsat 7;7;2024;0.007
Landsat 7;7;2026;0.011
Landsat 7;7;2028;0.02
Landsat 7;7;2030;0.017
Landsat 7;7;2032;0.03
Landsat 7;7;2034;0.035
Landsat 7;7;2035;0.037
Landsat 7;7;2037;0.044
Landsat 7;7;2039;0.051
Landsat 7;7;2041;0.065
Landsat 7;7;2043;0.08
Landsat 7;7;2045;0.088
Landsat 7;7;2047;0.102
Landsat 7;7;2049;0.133
Landsat 7;7;2051;0.165
Landsat 7;7;2052;0.188
Landsat 7;7;2054;0.22
Landsat 7;7;2056;0.264
Landsat 7;7;2058;0.316
Landsat 7;7;2060;0.367
Landsat 7;7;2062;0.421
Landsat 7;7;2064;0.484
Landsat 7;7;2066;0.554
Landsat 7;7;2067;0.59
Landsat 7;7;2069;0.67
Landsat 7;7;2071;0.683
Landsat 7;7;2073;0.73
Landsat 7;7;2075;0.756
Landsat 7;7;2077;0.767
Landsat 7;7;2079;0.794
