SATELLITE;BAND;WAVELENGTH;RSR;stdev
Landsat 8;5;892;0.000743;0.000278
Landsat 8;5;893;0.000423;0.000268
Landsat 8;5;894;0.000241;0.00025
Landsat 8;5;895;0.000116;0.000252
Landsat 8;5;896;0.000044;0.000245
Landsat 8;5;897;-0.000013;0.000246
Landsat 8;5;898;-0.00005;0.000253
Landsat 8;5;899;-0.000084;0.000251
Landsat 8;5;900;-0.0001;0.000243
Landsat 8;6;1515;-0.000016;0.000046
Landsat 8;6;1516;0.000067;0.000155
Landsat 8;6;1517;0.000151;0.000264
Landsat 8;6;1518;0.000249;0.000315
Landsat 8;6;1519;0.000348;0.000355
Landsat 8;6;1520;0.000466;0.000451
Landsat 8;6;1521;0.000585;0.000556
Landsat 8;6;1522;0.000758;0.000546
Landsat 8;6;1523;0.000932;0.000514
Landsat 8;6;1524;0.00115;0.000486
Landsat 8;6;1525;0.001369;0.000458
Landsat 8;6;1526;0.001613;0.000467
Landsat 8;6;1527;0.001859;0.000485
Landsat 8;6;1528;0.002172;0.000522
Landsat 8;6;1529;0.002488;0.000564
Landsat 8;6;1530;0.002881;0.000577
Landsat 8;6;1531;0.003277;0.000585
Landsat 8;6;1532;0.003772;0.000613
Landsat 8;6;1533;0.004271;0.000644
Landsat 8;6;1534;0.004898;0.000708
Landsat 8;6;1535;0.005528;0.000777
Landsat 8;6;1536;0.006421;0.000866
Landsat 8;6;1537;0.007319;0.000958
Landsat 8;6;1538;0.008459;0.001027
Landsat 8;6;1539;0.009606;0.001093
Landsat 8;6;1540;0.010989;0.001211
Landsat 8;6;1541;0.012372;0.001335
Landsat 8;6;1542;0.014303;0.001563
Landsat 8;6;1543;0.016248;0.00181
Landsat 8;6;1544;0.019029;0.002097
Landsat 8;6;1545;0.021831;0.00239
Landsat 8;6;1546;0.02589;0.002807
Landsat 8;6;1547;0.029952;0.003242
Landsat 8;6;1548;0.035171;0.003783
Landsat 8;6;1549;0.040434;0.004346
Landsat 8;6;1550;0.047864;0.005106
Landsat 8;6;1551;0.055352;0.005904
Landsat 8;6;1552;0.065732;0.00694
Landsat 8;6;1553;0.076166;0.008018
Landsat 8;6;1554;0.089024;0.009263
Landsat 8;6;1555;0.101893;0.010535
Landsat 8;6;1556;0.12015;0.012195
Landsat 8;6;1557;0.138642;0.01394
Landsat 8;6;1558;0.163127;0.016013
Landsat 8;6;1559;0.187803;0.018152
Landsat 8;6;1560;0.220261;0.020623
Landsat 8;6;1561;0.252894;0.023155
Landsat 8;6;1562;0.291359;0.025655
Landsat 8;6;1563;0.329939;0.02815
Landsat 8;6;1564;0.375648;0.030539
Landsat 8;6;1565;0.42147;0.032911
Landsat 8;6;1566;0.47356;0.034399
Landsat 8;6;1567;0.525681;0.035761
Landsat 8;6;1568;0.578787;0.036445
Landsat 8;6;1569;0.631645;0.037039
Landsat 8;6;1570;0.676683;0.036885
Landsat 8;6;1571;0.721282;0.036641
Landsat 8;6;1572;0.75477;0.036419
Landsat 8;6;1573;0.788248;0.0362
Landsat 8;6;1574;0.821155;0.035596
Landsat 8;6;1575;0.854065;0.034925
Landsat 8;6;1576;0.87337;0.034948
Landsat 8;6;1577;0.89183;0.035139
Landsat 8;6;1578;0.899817;0.03545
Landsat 8;6;1579;0.907252;0.03579
Landsat 8;6;1580;0.913009;0.035712
Landsat 8;6;1581;0.918685;0.035542
Landsat 8;6;1582;0.922953;0.035156
Landsat 8;6;1583;0.927163;0.034724
Landsat 8;6;1584;0.92686;0.034222
Landsat 8;6;1585;0.926413;0.033706
Landsat 8;6;1586;0.925059;0.033002
Landsat 8;6;1587;0.923683;0.032261
Landsat 8;6;1588;0.923953;0.031328
Landsat 8;6;1589;0.924259;0.030358
Landsat 8;6;1590;0.922828;0.029627
Landsat 8;6;1591;0.921383;0.028939
Landsat 8;6;1592;0.922061;0.028202
Landsat 8;6;1593;0.922756;0.027457
Landsat 8;6;1594;0.924648;0.026995
Landsat 8;6;1595;0.926605;0.026579
